Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Link
16 Master of Science,5023,Agrarsystemwissenschaften (kA/20221),Agrarwissenschaft/Landwirtschaft,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5023&pStartSemester=
16 Master of Science,5276,Agricultural Biosciences (kA/20241),Agrarwissenschaft/Landwirtschaft,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5276&pStartSemester=
16 Master of Science,5249,"AgriFood Economics, Policy and Regulation (kA/20241)",Agrarwissenschaft/Landwirtschaft,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5251,AI in Society (kA/20241),Politikwissenschaft,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5251&pStartSemester=
16 Master of Science,5341,Automotive Engineering (kA/20241),Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5341&pStartSemester=
16 Master of Science,5180,Bauingenieurwesen (kA/20231),Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5180&pStartSemester=
16 Master of Science,5375,Bioeconomy (kA/20241),Biotechnologie,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5140,Biologie (kA/20231),Biologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5140&pStartSemester=
16 Master of Science,5374,Biomass Technology (kA/20241),Biotechnologie,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5254,Biomedical Engineering and Medical Physics (kA/20241),Physik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5254&pStartSemester=
16 Master of Science,5031,Brauwesen und Getränketechnologie (kA/20221),Brauwesen/Getränketechnologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5031&pStartSemester=
16 Master of Science,4790,Cartography (kA/20181),Vermessungswesen (Geodäsie),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4790&pStartSemester=
16 Master of Science,5349,Chemical Biotechnology (kA/20241),Biotechnologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5349&pStartSemester=
16 Master of Science,5136,Communications and Electronics Engineering (kA/20231),Nachrichten-/Informationstechnik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5136&pStartSemester=
16 Master of Science,4947,Computational Mechanics (kA/20211),Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4947&pStartSemester=
16 Master of Science,5001,Computational Science and Engineering (kA/20211),Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5001&pStartSemester=
16 Master of Science,4630,Computational Science and Engineering (Honours Track) (kA/20161),Informatik,150,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4630&pStartSemester=
16 Master of Science,5392,Consumer Science (kA/20251; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5392&pStartSemester=
16 Master of Science,5348,Earth Oriented Space Science and Technology (kA/20241),Vermessungswesen (Geodäsie),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5348&pStartSemester=
16 Master of Science,5382,Elektrotechnik und Informationstechnik (kA/20251),Elektrotechnik/Elektronik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5382&pStartSemester=
16 Master of Science,5399,Elektrotechnik und Informationstechnik (Teilzeit 50%) (kA/20251),Elektrotechnik/Elektronik,120,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5399&pStartSemester=
16 Master of Science,5400,Elektrotechnik und Informationstechnik (Teilzeit 66%) (kA/20251),Elektrotechnik/Elektronik,120,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5400&pStartSemester=
16 Master of Science,2777,Elitestudiengang Software Engineering (kA/0; sb bis 30.09.2039),Informatik,,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2777&pStartSemester=
16 Master of Science,5340,Energie- und Prozesstechnik (kA/20241),Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5340&pStartSemester=
16 Master of Science,5342,"Entwicklung, Produktion und Management im Maschinenbau (kA/20241)",Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5342&pStartSemester=
16 Master of Science,5027,Environmental Engineering (kA/20221),Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5027&pStartSemester=
16 Master of Science,5216,Finance and Information Management (FIM) (kA/20241; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5216&pStartSemester=
16 Master of Science,5024,Forst- und Holzwissenschaft (kA/20221),"Forstwissenschaft, -wirtschaft",120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5024&pStartSemester=
16 Master of Science,5094,"Forst- und Holzwissenschaft (Teilzeit, 66%)  (kA/20221)","Forstwissenschaft, -wirtschaft",120,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5094&pStartSemester=
16 Master of Science,4994,Geodäsie und Geoinformation (kA/20221; sb bis 30.09.2050),Vermessungswesen (Geodäsie),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4994&pStartSemester=
16 Master of Science,5337,Geomaterialien und Geochemie (kA/20191; sb bis 01.10.2050),Geowissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5337&pStartSemester=
16 Master of Science,5336,Geophysics (kA/20201; sb bis 01.10.2050),Geowissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5336&pStartSemester=
16 Master of Science,4701,GeoThermie / GeoEnergie (kA/20181),Bauingenieurwesen/Ingenieurbau,,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4701&pStartSemester=
16 Master of Science,4561,Green Electronics (kA/20161),Elektrotechnik/Elektronik,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5367,Health Science - Prevention and Health Promotion (kA/20241),Gesundheitspädagogik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5367&pStartSemester=
16 Master of Science,4869,Horticultural Science (kA/20191; sb bis 30.09.2030),Gartenbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4869&pStartSemester=
16 Master of Science,2684,Industrial Chemistry (kA/0; sb bis 30.09.2039),Chemie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2684&pStartSemester=
16 Master of Science,5362,Industrielle Biotechnologie (kA/20241),Biotechnologie,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5273,Information Engineering (kA/20241),Ingenieurinformatik/Technische Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5273&pStartSemester=
16 Master of Science,4997,Information Systems (kA/20221),Wirtschaftsinformatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4997&pStartSemester=
16 Master of Science,5026,Information Technologies for the Built Environment (kA/20221),Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5026&pStartSemester=
16 Master of Science,5339,Ingenieur-  und Hydrogeologie (kA/20241),Geowissenschaften,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5146,Ingenieurökologie (kA/20231),Umwelttechnik einschl. Recycling,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5146&pStartSemester=
16 Master of Science,5184,Ingenieurökologie (50%) (kA/20231),Umwelttechnik einschl. Recycling,120,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5184&pStartSemester=
16 Master of Science,5147,Ingenieurökologie (66%) (kA/20231),Umwelttechnik einschl. Recycling,120,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5147&pStartSemester=
16 Master of Science,3170,Integrated Circuit Design (kA/0; sb bis 30.09.2039),Elektrotechnik/Elektronik,,3,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3170&pStartSemester=
16 Master of Science,3066,Intellectual Property and Competition Law (kA/0; sb bis 30.09.2039),Wirtschaftsrecht,,2,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3066&pStartSemester=
16 Master of Science,5398,Land Management and Geospatial Science (kA/20251),Luft- und Raumfahrttechnik,120,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5018,Lebensmittelchemie (kA/20221),Lebensmittelchemie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5018&pStartSemester=
16 Master of Science,5078,Lebensmitteltechnologie (kA/20221),Lebensmitteltechnologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5078&pStartSemester=
16 Master of Science,5259,Logistics Engineering and Management (kA/20241),Bauingenieurwesen/Ingenieurbau,,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5390,Management (kA/20251; sb bis 30.09.2050),Betriebswirtschaftslehre,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5390&pStartSemester=
16 Master of Science,4717,Management & Innovation (Heilbronn) (kA/20181; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4717&pStartSemester=
16 Master of Science,4685,Management & Innovation (Munich) (kA/20181; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4685&pStartSemester=
16 Master of Science,5205,Management and Digital Technology (kA/20241; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5205&pStartSemester=
16 Master of Science,5386,Management and Technology (kA/20251; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5386&pStartSemester=
16 Master of Science,5343,Maschinenwesen (kA/20241),Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5343&pStartSemester=
16 Master of Science,5394,Masterstudiengang Management am Campus Heilbronn (kA/20251; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5394&pStartSemester=
16 Master of Science,5178,Materials Science and Engineering (kA/20221),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5178&pStartSemester=
16 Master of Science,5185,"Mechatronics, Robotics, and Biomechanical Engineering (kA/20231)",Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5185&pStartSemester=
16 Master of Science,4824,Mechatronik und Robotik (kA/20191),Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4824&pStartSemester=
16 Master of Science,5222,Medizintechnik (kA/20241),Maschinenbau/-wesen,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5222&pStartSemester=
16 Master of Science,5372,Microelectronics and Chip Design (kA/20251),Elektrotechnik/Elektronik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5372&pStartSemester=
16 Master of Science,5142,Molekulare Biotechnologie (kA/20231),Biotechnologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5142&pStartSemester=
16 Master of Science,5144,Naturschutz und Landschaftsplanung (kA/20231),Naturschutz,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5144&pStartSemester=
16 Master of Science,5183,Naturschutz und Landschaftsplanung (50%) (kA/20231),Naturschutz,120,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5183&pStartSemester=
16 Master of Science,5145,Naturschutz und Landschaftsplanung (66%) (kA/20231),Naturschutz,120,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5145&pStartSemester=
16 Master of Science,5384,Nutrition and Biomedicine (kA/20251),Haushalts- und Ernährungswissenschaft,120,,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,5030,Pharmazeutische Bioprozesstechnik (kA/20221),Verfahrenstechnik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5030&pStartSemester=
16 Master of Science,5192,Politics & Technology  (kA/20231),Politikwissenschaft,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5192&pStartSemester=
16 Master of Science,5193,Politics & Technology (66%) (kA/20231),Politikwissenschaft,120,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5193&pStartSemester=
16 Master of Science,5029,Power Engineering (kA/20221),Energietechnik (ohne Elektrotechnik),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5029&pStartSemester=
16 Master of Science,4911,Quantum Science & Technology (kA/20201),Physik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4911&pStartSemester=
16 Master of Science,5107,Radiation Biology (kA/20221),Biologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5107&pStartSemester=
16 Master of Science,5258,Rail and Urban Transport (kA/20241),Bauingenieurwesen/Ingenieurbau,,4,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
16 Master of Science,4818,"Rail, Transport and Logistics (kA/20191)",Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4818&pStartSemester=
16 Master of Science,5190,Ressourceneffizientes und Nachhaltiges Bauen (kA/20231),Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5190&pStartSemester=
16 Master of Science,5181,Risk and Safety (kA/20231),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5181&pStartSemester=
16 Master of Science,4833,Science and Technology of Materials (kA/20191),Maschinenbau/-wesen,,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4833&pStartSemester=
16 Master of Science,2909,Social Science of Technology (kA/10402; sb bis 30.09.2051),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2909&pStartSemester=
16 Master of Science,5368,Sport and Exercise Science (kA/20241),Sportwissenschaft,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5368&pStartSemester=
16 Master of Science,5252,Sustainable Food (GIST TUM Asia) (kA/20241),Lebensmitteltechnologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5252&pStartSemester=
16 Master of Science,4941,Sustainable Management and Technology (kA/20211; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4941&pStartSemester=
16 Master of Science,5345,Sustainable Resource Management (kA/20241),Naturschutz,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5345&pStartSemester=
16 Master of Science,4331,"Transport and Logistics (Parttime, 50%) (kA/20141)",Bauingenieurwesen/Ingenieurbau,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4331&pStartSemester=
16 Master of Science,4945,Transportation Systems (kA/20211),Bauingenieurwesen/Ingenieurbau,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4945&pStartSemester=
16 Master of Science,4990,Urbanistik - Landschaft und Stadt (kA/20211; sb bis 30.09.2050),Architektur,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4990&pStartSemester=
16 Master of Science,5097,Vocational Education and Innovation (kA/20221; sb bis 01.10.2050),Berufs- und Wirtschaftspädagogik,90,5,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5097&pStartSemester=
16 Master of Science,5262,Wirtschaftspädagogik I (kA/20241; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5262&pStartSemester=
16 Master of Science,5264,Wirtschaftspädagogik II (kA/20241; sb bis 30.09.2050),Wirtschaftswissenschaften,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5264&pStartSemester=
17 Bachelor of Science,5002,Chemie (kA/20221),Chemie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5002&pStartSemester=
17 Bachelor of Science,2805,Ingenieurwissenschaften Kooperation PLUS (kA/0; sb bis 30.09.2051),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),210,7,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2805&pStartSemester=
17 Bachelor of Science,5355,Maschinenwesen (kA/20241),Maschinenbau/-wesen,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5355&pStartSemester=
17 Bachelor of Science,5247,Mathematik (kA/20231),Mathematik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5247&pStartSemester=
17 Bachelor of Science,5405,Physik (kA/20251),Physik,180,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,5354,Aerospace (kA/20241),Luft- und Raumfahrttechnik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5354&pStartSemester=
17 Bachelor of Science,5248,Agrarwissenschaften und Gartenbauwissenschaften (kA/20241),Agrarwissenschaft/Landwirtschaft,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5248&pStartSemester=
17 Bachelor of Science,5346,Bauingenieurwesen (kA/20241),Bauingenieurwesen/Ingenieurbau,180,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,5187,Biochemie (kA/20231),Biochemie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5187&pStartSemester=
17 Bachelor of Science,5274,Bioeconomy (kA/20241),Biotechnologie,180,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,5028,Bioinformatik (kA/20211; sb bis 30.09.2050),Informatik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5028&pStartSemester=
17 Bachelor of Science,4956,Bioökonomie (kA/20211),Biotechnologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4956&pStartSemester=
17 Bachelor of Science,4767,Bodenordnung und Landentwicklung (kA/20181),Vermessungswesen (Geodäsie),30,5,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4767&pStartSemester=
17 Bachelor of Science,5084,Brauwesen und Getränketechnologie (kA/20221),Brauwesen/Getränketechnologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5084&pStartSemester=
17 Bachelor of Science,5383,Chemie-Ingenieurwesen (kA/20251),Chemie-Ingenieurwesen/Chemietechnik,180,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,5235,Chemische Biotechnologie (kA/20231),Biotechnologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5235&pStartSemester=
17 Bachelor of Science,5135,Elektrotechnik und Informationstechnik (kA/20231),Elektrotechnik/Elektronik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5135&pStartSemester=
17 Bachelor of Science,5138,Forstwissenschaft und Ressourcenmanagement (kA/20231),"Forstwissenschaft, -wirtschaft",180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5138&pStartSemester=
17 Bachelor of Science,5357,Geodäsie und Geoinformation (kA/20241),Vermessungswesen (Geodäsie),180,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,2587,Geowissenschaften (kA/0; sb bis 30.09.2051),Geowissenschaften,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2587&pStartSemester=
17 Bachelor of Science,5365,Gesundheitswissenschaft (kA/20241),Gesundheitspädagogik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5365&pStartSemester=
17 Bachelor of Science,5371,Informatik (kA/20241),Informatik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5371&pStartSemester=
17 Bachelor of Science,5218,Informatik: Games Engineering (kA/20231; sb bis 30.09.2033),Informatik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5218&pStartSemester=
17 Bachelor of Science,4953,Information Engineering (kA/20211),Ingenieurinformatik/Technische Informatik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4953&pStartSemester=
17 Bachelor of Science,5223,Ingenieur- und Werkstoffwissenschaften Kooperation PLUS (kA/20241),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5223&pStartSemester=
17 Bachelor of Science,5356,Ingenieurwissenschaften (kA/20241),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),210,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,5143,Landschaftsarchitektur und Landschaftsplanung (kA/20231),Landespflege/Landschaftsgestaltung,240,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5143&pStartSemester=
17 Bachelor of Science,5003,Lebensmittelchemie (kA/20221),Lebensmittelchemie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5003&pStartSemester=
17 Bachelor of Science,5085,Lebensmitteltechnologie (kA/20221),Lebensmitteltechnologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5085&pStartSemester=
17 Bachelor of Science,5139,Life Sciences Biologie (kA/20231),Biologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5139&pStartSemester=
17 Bachelor of Science,5257,Life Sciences Ernährungswissenschaft (kA/20241),Biologie,180,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
17 Bachelor of Science,5250,Management and Data Science (Heilbronn) (kA/20241; sb bis 30.09.2050),Wirtschaftswissenschaften,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5250&pStartSemester=
17 Bachelor of Science,5194,Management and Technology (kA/20231; sb bis 01.10.2050),Wirtschaftswissenschaften,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5194&pStartSemester=
17 Bachelor of Science,5141,Molekulare Biotechnologie (kA/20231),Biotechnologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5141&pStartSemester=
17 Bachelor of Science,5086,Pharmazeutische Bioprozesstechnik (kA/20221),Verfahrenstechnik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5086&pStartSemester=
17 Bachelor of Science,5407,Politikwissenschaft (kA/20251),Politikwissenschaft,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5407&pStartSemester=
