Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Link
06 Promotion,5077,Gastpromotion (MH-Sport) (kA/20211),Sportwissenschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4757,Gastpromotion (MW) (kA/20181),Maschinenbau/-wesen,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5071,Gastpromotion (NAT-Chemie) (kA/20211),Chemie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5075,Gastpromotion (NAT-PH) (kA/20211),Physik,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4752,Gastpromotion (PH) (kA/20181),Physik,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4752&pStartSemester=
06 Promotion,4761,Gastpromotion (SG) (kA/20181),Sportwissenschaft,,3,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5053,Gastpromotion (SOT - Education) (kA/20211),Erziehungswissenschaft (Pädagogik),,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5054,Gastpromotion (SOT - Governance) (kA/20211),Politikwissenschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5396,Gastpromotion (TUMCS) (kA/20241),Biotechnologie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4754,Gastpromotion (WI) (kA/20181; sb bis 30.09.2050),Wirtschaftswissenschaften,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4764,Gastpromotion (WZW) (kA/20181),Agrarwissenschaft/Landwirtschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4541,Ingenieurfakultät Bau Geo Umwelt (Bauingenieurwesen) (kA/0),Bauingenieurwesen/Ingenieurbau,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4542,Ingenieurfakultät Bau Geo Umwelt (Geowissenschaften) (kA/0),Geowissenschaften,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4544,Munich Center for Technology in Society (MCTS)   (kA/0),sonstiges,,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4545,Munich School of Engineering (MSE) (kA/0),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,4850,TUM Campus Straubing (kA/20191),Biotechnologie,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4850&pStartSemester=
06 Promotion,5042,TUM School of  LS (Brau-/Lebensmittel.) (kA/20211),Brauwesen/Getränketechnologie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5064,TUM School of CIT (Elektro-/Informationstechnik) (kA/20211),Elektrotechnik/Elektronik,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5067,TUM School of CIT (Informatik) (kA/20211),Informatik,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5068,TUM School of CIT (Mathematik) (kA/20211),Mathematik,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5050,TUM School of ED (Allg. Ingenieurwi.) (kA/20211),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5050&pStartSemester=
