Study_Program_ID,Name (1),Name (2),Name (3),Link,Credits,GF
121,Übergreifende Wahlmodule,Management,[WI000836] Advanced Planning in Supply Chains - Illustrating the concepts and methdology using SAP IBP,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/614770/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WIB01832] Advanced Topics in Innovation & Entrepreneurship,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/586422/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[MGT001472] Applied Strategy and Organization: Strategies for international Corporations,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4394710/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,"[WI001090] Behavioral Pricing: Insights, Methods, and Strategy",https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1021421/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,"[WI001214] Case Study Seminar in Managing business models, growth, and disruption",https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1737567/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000091] Corporate Finance,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261081/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000258] Empirical Research in Economics and Management,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/450708/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI001166] Entrepreneurial Prototyping,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1348594/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000984] Entrepreneurship,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/759654/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,[WI001217] Geheimnisschutz,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1746283/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,[WI000979] Inventory Management,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737300/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI001231] Leadership and Strategy in the 21st Century,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1814863/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,[WI001218] Patentschutz,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1746286/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,[WIB26001] Social Entrepreneurship Lab,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1108762/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[SG8000160] Sponsorship-linked Marketing (Online-Kurs),https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1073242/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000977] Stochastic Modeling and Optimization,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737291/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI001180] Tech Challenge,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1412293/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000813] Technology Entrepreneurship Lab,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/584574/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000978] Transportation Logistics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737297/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI001195] Value-based Business Strategy & Innovation,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1548947/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WIB26004] What’s New about New Forms of Organizing?,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1506760/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,1 aus 6,,,1
121,Übergreifende Wahlmodule,Algorithmen,,,5,1
121,Übergreifende Wahlmodule,Algorithmen,[IN99540] Anerkanntes Wahlmodul im Bereich Algorithmen,,,1
121,Übergreifende Wahlmodule,Algorithmen,[IN99541] Anerkanntes Wahlmodul im Bereich Algorithmen,,,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2003] Efficient Algorithms and Data Structures,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456350/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2004] Effiziente Algorithmen und Datenstrukturen II,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/455704/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2007] Complexity Theory,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/455706/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2011] Parallele Algorithmen,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456364/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2158] Fortgeschrittene Netzwerk- und Graph-Algorithmen,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458189/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2160] Randomisierte Algorithmen,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458193/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2239] Algorithmic Game Theory,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/629351/study-year/1621,5,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2211] Auction Theory and Market Design,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/487476/study-year/1621,5,1
121,Übergreifende Wahlmodule,Algorithmen,[IN3410] Ausgewählte Themen aus dem Bereich Algorithmen,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1498116/study-year/1621,5,1
121,Übergreifende Wahlmodule,Algorithmen,[CIT4330006] Communication Networks Modeling and Optimization,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3384222/study-year/1621,5,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2229] Computational Social Choice,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/557075/study-year/1621,6,1
121,Übergreifende Wahlmodule,Algorithmen,[EI74351] Convex Optimization,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1408213/study-year/1621,6,1
121,Übergreifende Wahlmodule,Algorithmen,[CIT413031] Fundamentals of Optimization for Machine Learning,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3863914/study-year/1621,5,1
