ID,name,credits,version,valid,responsible,organisation,note,module_level,abbreviation,subtitle,duration,occurrence,language,related_programs,total_hours,contact_hours,self_study_hours,description_of_achievement_and_assessment_methods,exam_retake_next_semester,exam_retake_at_the_end_of_semester,prerequisites_recommended,intended_learning_outcomes,content,teaching_and_learning_methods,media,reading_list,curriculum_ID,transformed_link
,,,,,,,,,,,,,,,,,,,,,,,,,,,42,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1737567/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/261081/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/450708/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,45,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1348594/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/759654/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1746283/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/737300/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,49,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1814863/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,50,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1746286/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1108762/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1073242/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,53,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/737291/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,54,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1412293/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,55,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/584574/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,56,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/737297/206?$ctx=lang=en&$scrollTo=toc_details
